Direction,Pitch,Roll,Yaw
0,0.368992592,5.396441109,116.955747
0,0.566995187,4.227476858,116.9779042
0,2.970676587,355.8290609,117.9715055
0,2.754383493,345.2725685,118.0186064
0,2.385805141,336.0654445,117.3449176
0,2.613739012,332.8438082,118.5709092
0,2.973612715,330.9715389,120.2344701
0,4.543015803,331.0217818,119.975442
0,5.327705928,331.8009237,120.0228572
0,4.920741059,333.459268,119.1245097
90,6.387830261,336.3541617,118.3952504
90,5.910284352,336.7137199,117.5056319
90,5.003121251,337.895732,116.9075669
90,3.799203506,341.5341003,116.2319109
90,3.752026536,342.1432559,115.5533589
90,3.678529859,343.1062528,115.3760746
90,3.666237226,344.0360464,115.1002169
90,3.820602489,344.7378945,114.7983498
90,358.3076548,347.2087803,114.3971718
90,334.7679783,357.5867463,110.4233541
180,331.1038158,2.94970876,109.4160651
180,332.3805267,4.55077191,109.4142073
180,332.8523306,6.960783241,108.9226113
180,337.4391339,15.79541351,109.480064
180,348.7339846,22.17572373,110.8640789
180,355.9268333,26.75709703,111.1322595
180,356.7171998,31.3668822,110.3266182
180,357.8738522,32.24686669,110.2776115
180,358.9360464,31.65648905,110.5274667
180,359.3384619,31.56511136,110.6281027
270,0.49929654,30.96449526,111.1950562
270,0.702067087,31.43618471,111.1643477
270,2.037546175,30.69406075,111.3680649
270,10.12286969,15.80123796,114.1344281
270,11.9410319,11.75060366,114.9569058
270,23.75694668,9.124884283,117.7853691
270,26.93243823,10.42414933,118.1814655
270,28.59803621,9.104617404,118.3920129
270,30.06126763,6.915104643,118.230356
270,30.0541335,6.513790902,117.8803634
0,337.7774997,36.52770142,95.43427859
0,337.4396888,36.62232344,95.55291898
0,337.8531543,35.11730833,96.10558374
0,343.1357234,21.69509015,99.52201704
0,347.7296787,13.03115314,102.3885655
0,345.3658706,5.943326672,101.5325993
0,344.6692801,4.17179929,101.7419446
0,343.8909066,3.64222783,101.3231106
0,344.6364901,2.728548516,102.0900862
0,344.9925666,3.165917118,102.2488676
0,345.1823178,2.732044932,102.0876956
0,346.2580461,2.475547637,102.6598879
0,346.6351998,2.524935027,102.699544
0,346.9493526,2.563862196,102.6816694
0,347.8688191,2.605387612,103.2479672
0,348.624115,0.961455314,103.4178272
0,348.4810977,1.538303529,103.2060367
0,348.450974,1.888814537,103.1453982
0,348.0635025,2.389277865,103.0184865
0,347.9244296,2.65354386,102.8941702
90,348.296867,2.510952776,102.8516728
90,348.8316708,1.89749528,103.0496117
90,349.1424632,1.587037996,103.1710524
90,347.5400402,6.516213058,102.0508946
90,328.3095273,29.72895844,87.13551679
90,317.086041,56.79991802,71.05843311
90,316.7353996,58.82419826,71.25603731
90,316.6600421,59.83622739,70.72015433
90,316.7285216,50.99424357,71.65005043
90,316.4102245,48.78887452,70.39132853
90,316.5751428,46.23668896,72.25879787
90,317.866595,42.32843765,75.46010071
90,319.1374917,40.5141345,77.477561
90,320.5796042,38.16310484,79.83857298
90,320.4557797,38.58628628,78.85658302
90,321.1617002,36.84926672,80.20352365
90,322.1346436,35.04422873,81.13898636
90,322.728993,34.58543809,81.63190062
90,323.5568632,33.79966239,82.38947788
90,324.2986149,33.35339491,82.91806622
180,325.1844016,32.24810296,83.64931994
180,325.4131242,31.81627108,83.6488145
180,327.1320676,32.45815177,86.87028688
180,339.5881555,46.08699171,98.88398858
180,338.5417586,51.85596414,98.14845234
180,338.4978217,55.30509014,99.06713327
180,339.4532234,58.63429851,98.7898754
180,340.0214884,59.44397646,98.77243793
180,340.7753859,58.38149955,99.14051682
180,341.4915261,56.47237289,99.90779295
180,342.5169355,53.43640503,100.5006944
180,343.0250162,52.76331721,100.7901578
180,343.9350143,51.6441873,101.3496869
180,344.0929317,51.68123083,101.8355729
180,344.4815028,50.70629987,102.3168826
180,344.7384921,50.81210292,102.7321513
180,345.2372428,50.58088052,103.2145812
180,345.6845954,50.29715105,103.728874
180,346.2617285,49.86447905,104.6266409
180,346.1211017,49.88794758,105.5388195
270,346.8768442,49.42761333,106.0486589
270,348.2564536,48.50812301,106.9374236
270,5.002993612,34.52596763,113.5100396
270,11.09570292,33.00874356,116.9526598
270,13.34294188,32.87607738,118.2077207
270,15.91255296,30.47994457,120.3131129
270,16.93768581,29.86636135,120.9714475
270,17.42084315,29.92651483,120.9340864
270,17.89251211,29.46972202,121.0914949
270,18.99011838,28.99100089,121.2281533
270,19.14524393,28.70833693,121.0337798
270,19.67914445,27.91787914,120.9991644
270,19.99359612,27.61934352,120.9658604
270,20.39099018,26.99061436,120.8137657
270,20.88401714,26.45652772,120.9192102
270,21.44385189,26.33821348,121.0685728
270,21.66900908,26.08242802,121.1125319
270,21.95466808,25.65706091,121.3218772
270,21.7880661,25.2752004,121.1345797
270,22.01704478,25.0406722,121.0216221
0,58.16614369,207.332363,56.9519956
0,59.36967083,210.8897304,61.63376926
0,59.34242521,210.9932897,63.03321355
0,60.27788109,210.1609356,63.47486724
0,60.49478057,212.9139253,65.97115795
0,60.8144949,216.1304389,69.7018824
0,61.02931801,220.2007946,73.9634355
0,60.36984958,223.9982841,76.92494406
0,59.74384226,226.801667,78.6244932
0,59.01618122,231.9857805,81.70226523
0,58.58788738,236.6119769,85.07706853
0,58.10479493,239.8300069,87.0283238
0,58.59876787,242.1418893,89.19517399
0,58.71790686,243.5712567,90.06600945
0,58.28660774,246.2975199,92.53481548
0,57.24825164,250.4306722,96.72867457
0,56.20110509,253.6484905,99.28303555
0,56.35072039,253.2820918,98.67932879
0,55.31524663,256.4533691,99.81836529
0,54.9155303,257.7438036,99.87950231
0,53.86600344,260.8782799,101.5219306
0,53.0273006,263.2691739,102.5690532
0,52.53721404,265.4309356,103.1675281
0,51.88724641,267.9937046,103.9817959
0,51.08110309,269.9125233,104.6852985
0,50.1546494,271.7822124,105.4535036
0,49.07016904,273.4932158,106.3456902
0,48.42396484,273.8826254,106.3902162
0,47.47354743,275.9001813,107.1683114
0,46.43029751,277.8651038,107.8451763
90,45.09907998,279.6609654,108.414172
90,43.71675897,281.7123649,109.2428925
90,42.70530016,283.5291542,109.7816374
