Direction,Pitch,Roll,Yaw
Right,-24,-41,-60
Right,-25,-40,-59
Right,-25,-38,-56
Right,-26,-37,-55
Right,-26,-37,-53
Right,-27,-36,-51
Right,-28,-35,-49
Right,-28,-34,-47
Right,-27,-33,-45
Right,-29,-33,-46
Right,-32,-32,-44
Right,-32,-30,-43
Right,-33,-30,-46
Right,-33,-31,-47
Right,-32,-30,-45
Right,-33,-29,-44
Right,-33,-28,-43
Right,-33,-28,-42
Right,-33,-27,-40
Right,-32,-26,-38
Right,-32,-25,-38
Right,-32,-25,-37
Right,-33,-25,-37
Right,-32,-24,-36
Right,-32,-23,-34
Right,-33,-23,-34
Right,-33,-22,-33
Right,-33,-21,-32
Right,-33,-20,-31
Right,-33,-19,-30
Right,-33,-19,-30
Right,-33,-18,-29
Bottom,-33,-17,-28
Bottom,-33,-17,-27
Bottom,-22,-2,-18
Bottom,-2,18,-13
Bottom,7,26,-12
Bottom,15,30,-13
Bottom,16,29,-14
Bottom,15,26,-14
Bottom,14,26,-15
Bottom,14,28,-15
Bottom,13,30,-16
Bottom,12,31,-17
Bottom,12,32,-17
Bottom,12,32,-18
Bottom,12,32,-18
Bottom,11,32,-18
Bottom,11,32,-19
Bottom,11,33,-19
Bottom,11,33,-20
Bottom,11,34,-20
Bottom,11,34,-21
Bottom,11,35,-21
Bottom,11,35,-21
Bottom,11,36,-22
Bottom,11,36,-22
Bottom,11,37,-23
Bottom,11,37,-23
Bottom,11,37,-24
Bottom,11,38,-24
Bottom,11,38,-24
Bottom,11,38,-25
Bottom,11,39,-25
Bottom,11,39,-25
Bottom,11,39,-26
Bottom,11,39,-26
Bottom,11,39,-26
Bottom,11,40,-27
Bottom,11,40,-27
Bottom,10,40,-27
Bottom,10,41,-28
Left,10,41,-28
Left,10,41,-28
Left,14,37,-30
Left,31,18,-33
Left,41,-8,-18
Left,47,-22,-9
Left,47,-23,-9
Left,46,-20,-11
Left,47,-18,-12
Left,46,-16,-15
Left,46,-15,-14
Left,47,-15,-14
Left,46,-14,-15
Left,46,-13,-15
Left,46,-12,-15
Left,46,-11,-16
Left,46,-10,-17
Left,46,-9,-17
Left,45,-7,-18
Left,44,-5,-18
Left,43,-4,-19
Left,43,-3,-19
Left,43,-2,-20
Left,43,-2,-20
Left,42,-1,-20
Left,41,-1,-20
Left,41,0,-20
Left,40,0,-20
Left,39,0,-21
Left,39,1,-21
Left,39,1,-21
Left,39,1,-21
Left,39,2,-21
Left,39,2,-22
Left,38,3,-23
Left,38,4,-23
Left,40,3,-22
Left,40,2,-22
Left,40,2,-22
Left,40,2,-22
Top,36,24,-11
