0, 359.972518282, 3.16652841974, 117.697751476
0, 0.108926109315, 3.2991470012, 117.550888748
0, 0.251282712926, 3.42887150345, 117.394941869
0, 0.411153375651, 3.56051998461, 117.255797255
0, 0.555489840326, 3.67798045531, 117.123277925
0, 0.687489009009, 3.81603864212, 116.995416784
0, 0.823686129349, 3.90966431394, 116.851818887
0, 0.964284399475, 4.02213917344, 116.717209519
0, 1.09820637313, 4.11899637851, 116.582108377
0, 1.23927037678, 4.24435852431, 116.449575386
90, 1.37574342609, 4.34628671795, 116.318927528
90, 1.51543626927, 4.46600541995, 116.20601084
90, 1.635233305, 4.5459297323, 116.088558907
90, 1.75620705425, 4.64344391619, 115.978811428
90, 1.88097924246, 4.74616996131, 115.857889759
90, 2.00219226179, 4.83306746991, 115.745738052
90, 2.10472044486, 4.93209966335, 115.648763027
90, 2.23620670903, 4.99493270796, 115.553481888
90, 2.34481183947, 5.09688395349, 115.438953276
90, 2.43338765362, 5.19450485909, 115.332907759
180, 2.57304474502, 5.2871879648, 115.239101941
180, 2.67812208276, 5.36393453164, 115.150446085
180, 2.77216951876, 5.45183607805, 115.059044494
180, 2.87504049196, 5.54834835857, 114.95131875
180, 2.97812192035, 5.6447048254, 114.859070215
180, 3.08393414376, 5.72005120345, 114.750388245
180, 3.17604009849, 5.78329747451, 114.660188767
180, 3.26533884547, 5.89425133625, 114.565877515
180, 3.36026310701, 5.99148889749, 114.480076679
180, 3.45292999103, 6.06091520908, 114.4100809
270, 3.54626559325, 6.14727910915, 114.332571913
270, 3.63819417651, 6.21684970849, 114.261455984
270, 3.72182728157, 6.28355675102, 114.194820658
270, 3.79696832707, 6.3551085321, 114.128636125
270, 3.8663058462, 6.41599710723, 114.074773253
270, 3.93316998308, 6.48990274226, 114.014107513
270, 4.00855862293, 6.54478672734, 113.940177545
270, 4.07915375065, 6.60537178593, 113.87463505
270, 4.14146599333, 6.66499208031, 113.806797611
270, 4.21628431239, 6.74951182931, 113.74282606


0, 33.5533384486, 23.1657681928, 96.1749784576
0, 33.0257268258, 22.9256733831, 96.4207286639
0, 32.5007106749, 22.6838061393, 96.6555027563
0, 31.989054374, 22.4347449988, 96.8821694141
0, 31.4905461872, 22.2159006151, 97.1087062983
0, 31.0144512662, 21.9780785509, 97.3453313719
0, 30.5467369873, 21.7605421485, 97.5578390475
0, 30.074675293, 21.531034132, 97.7897922717
0, 29.6107346936, 21.3258654946, 98.0263558736
0, 29.1646243031, 21.0951895157, 98.2518204181
0, 28.7377579705, 20.8708673204, 98.4656873014
0, 28.2993076372, 20.6747401459, 98.685810638
0, 27.8808287769, 20.4706831218, 98.8844530296
0, 27.4875447769, 20.246939785, 99.0784235719
0, 27.086207984, 20.0759135557, 99.2782202655
0, 26.6909363989, 19.8800049473, 99.4735295248
0, 26.298104899, 19.7037075195, 99.6897255026
0, 25.9191250227, 19.5285473183, 99.8855128752
0, 25.5482115999, 19.3319727664, 100.072195606
0, 25.182661583, 19.1703329246, 100.278713205
90, 24.8678154755, 18.9953383554, 100.430561971
90, 24.5233007338, 18.8250002677, 100.61178055
90, 24.1729154444, 18.6433206509, 100.789310827
90, 23.8403142602, 18.4736126481, 100.960953481
90, 23.5084729344, 18.3240127223, 101.132343418
90, 23.1990909782, 18.154159578, 101.307735845
90, 22.8828378517, 17.995670161, 101.472527819
90, 22.5797704054, 17.8383606591, 101.644914964
90, 22.2651633545, 17.6893908182, 101.796948145
90, 21.9747795695, 17.524270995, 101.956521854
90, 21.6996800403, 17.3759039183, 102.112796582
90, 21.3960730091, 17.2226447186, 102.26796482
90, 21.1274877728, 17.0848661427, 102.431732266
90, 20.8545073098, 16.9289773202, 102.577830012
90, 20.6013036595, 16.7918971311, 102.734617004
90, 20.3387460652, 16.6552352911, 102.880503015
90, 20.080095339, 16.5331046785, 103.024456082
90, 19.8399766237, 16.4135729529, 103.172561904
90, 19.5790907181, 16.2930440198, 103.297854894
90, 19.3380465121, 16.1438948864, 103.425299394
180, 19.1131710714, 16.0376530014, 103.550612874
180, 18.8917704895, 15.9204264647, 103.670667109
180, 18.671578851, 15.7936649839, 103.781609872
180, 18.44957892, 15.6720415129, 103.894253352
180, 18.2372351689, 15.5576717028, 103.99672668
180, 18.0205935212, 15.4614155543, 104.110196613
180, 17.8053486473, 15.3243148747, 104.224055866
180, 17.5890211883, 15.2169921122, 104.327929383
180, 17.479408605, 15.0943492355, 104.397235313
180, 17.2942114407, 14.9567516596, 104.50798683
180, 17.1004850778, 14.8493896236, 104.612181366
180, 16.9401344342, 14.7336230398, 104.709969184
180, 16.757411506, 14.6261568434, 104.807019342
180, 16.5742343701, 14.5252049399, 104.904684217
180, 16.4048576316, 14.4331971691, 105.016419282
180, 16.2449475352, 14.3380389736, 105.132150007
180, 16.1016143079, 14.239890009, 105.226775448
180, 15.9443252966, 14.139494766, 105.33265704
180, 15.7842768889, 14.0539005428, 105.413710895
180, 15.6282958588, 13.9775023156, 105.510269279
270, 15.4858761693, 13.9004432677, 105.591275323
270, 15.3401045645, 13.8313985929, 105.680422952
270, 15.1980212618, 13.7309751753, 105.749920127
270, 15.0484008454, 13.6422407727, 105.830864699
270, 14.8958485703, 13.5470176904, 105.890949873
270, 14.7575440698, 13.4795704261, 105.973759086
270, 14.6410056746, 13.3958212078, 106.042784978
270, 14.4968186737, 13.2995710358, 106.122930418
270, 14.3846584298, 13.218139813, 106.194743027
270, 14.2551290148, 13.1298143679, 106.249589446
270, 14.1156505756, 13.0578967448, 106.31149828
270, 13.9968061378, 12.988912688, 106.370634058
